dyadid,ccode1,ccode2,dem1,dem2,distance,allies
40551,40,551,-7,0,7929,0
40552,40,552,-7,4,8155,0
40553,40,553,-7,-9,8245,0
40560,40,560,-7,4,7981,0
40570,40,570,-7,9,8139,0
40571,40,571,-7,10,7968,0
40572,40,572,-7,0,8312,0
40580,40,580,-7,-2,9184,0
40590,40,590,-7,9,9869,0
40600,40,600,-7,-9,4549,0
40615,40,615,-7,-9,5042,0
40616,40,616,-7,-9,5416,0
40620,40,620,-7,-7,5673,0
40625,40,625,-7,7,7296,0
40630,40,630,-7,-10,7382,0
40640,40,640,-7,9,6416,0
40645,40,645,-7,-7,7201,0
40651,40,651,-7,-7,6710,0
40652,40,652,-7,-7,6825,0
40660,40,660,-7,2,6772,0
40663,40,663,-7,-9,6869,0
40666,40,666,-7,9,6843,0
40670,40,670,-7,-10,7697,0
40678,40,678,-7,-3,7961,0
40680,40,680,-7,-5,8108,0
40690,40,690,-7,-9,7540,0
40700,40,700,-7,-7,8046,0
40710,40,710,-7,-9,7922,0
40712,40,712,-7,-7,7501,0
40713,40,713,-7,-8,8752,0
40731,40,731,-7,-9,7781,0
40732,40,732,-7,-3,7837,0
40740,40,740,-7,10,7534,0
40750,40,750,-7,9,8621,0
40770,40,770,-7,3,8201,0
40775,40,775,-7,-7,9686,0
40780,40,780,-7,7,10047,0
40781,40,781,-7,,9963,0
40790,40,790,-7,-9,8837,0
40800,40,800,-7,,9890,0
40811,40,811,-7,-9,10000,0
40812,40,812,-7,,9587,0
40816,40,816,-7,-8,9344,0
40817,40,817,-7,-3,10027,0
40820,40,820,-7,10,10609,0
40830,40,830,-7,-2,10709,0
40840,40,840,-7,5,9398,0
40850,40,850,-7,-7,11126,0
40900,40,900,-7,10,9263,0
40920,40,920,-7,10,7911,0
41042,41,42,-9,-3,0,1
41051,41,51,-9,10,296,0
41052,41,52,-9,8,906,1
41053,41,53,-9,,925,0
41070,41,70,-9,-6,1753,1
41090,41,90,-9,3,1235,1
41091,41,91,-9,-1,1034,1
41092,41,92,-9,0,1169,1
41093,41,93,-9,-8,1029,1
41094,41,94,-9,10,986,1
41095,41,95,-9,-7,819,1
41100,41,100,-9,7,971,1
41101,41,101,-9,6,663,1
41110,41,110,-9,1,1252,0
41130,41,130,-9,1,1363,1
41135,41,135,-9,-7,2139,1
41140,41,140,-9,-9,2898,1
41145,41,145,-9,-4,2440,1
41150,41,150,-9,-8,3186,1
41155,41,155,-9,6,3597,1
41160,41,160,-9,-9,3786,1
41165,41,165,-9,8,3844,1
41200,41,200,-9,10,4467,0
41205,41,205,-9,10,4220,0
41210,41,210,-9,10,4682,0
41211,41,211,-9,10,4660,0
41212,41,212,-9,10,4744,0
41220,41,220,-9,5,4575,0
41225,41,225,-9,10,4821,0
41230,41,230,-9,-7,4291,0
41235,41,235,-9,-9,4000,0
41260,41,260,-9,10,4782,0
41265,41,265,-9,-9,4903,0
41290,41,290,-9,-7,5355,0
41305,41,305,-9,10,5218,0
41310,41,310,-9,-7,5351,0
41315,41,315,-9,,5109,0
41325,41,325,-9,10,5116,0
41338,41,338,-9,,5311,0
41339,41,339,-9,-9,5495,0
41345,41,345,-9,-7,5463,0
41350,41,350,-9,-7,5761,0
41352,41,352,-9,7,6330,0
41355,41,355,-9,-7,5641,0
41360,41,360,-9,-7,5735,0
41365,41,365,-9,-7,5903,0
41375,41,375,-9,10,5362,0
41380,41,380,-9,10,5140,0
41385,41,385,-9,10,4882,0
41390,41,390,-9,10,4976,0
41395,41,395,-9,10,3918,0
41411,41,411,-9,,5560,0
41420,41,420,-9,10,3709,0
41432,41,432,-9,-7,4284,0
41433,41,433,-9,-7,3635,0
41434,41,434,-9,-7,5098,0
41435,41,435,-9,-7,3686,0
41436,41,436,-9,-7,4928,0
41437,41,437,-9,-9,4573,0
41438,41,438,-9,-9,3966,0
41439,41,439,-9,-7,4712,0
41450,41,450,-9,-6,4222,0
41451,41,451,-9,2,4017,0
41452,41,452,-9,-7,4931,0
41461,41,461,-9,-7,5013,0
41471,41,471,-9,-7,5738,0
41475,41,475,-9,-7,5342,0
41481,41,481,-9,-7,5677,0
41482,41,482,-9,-9,6188,0
41483,41,483,-9,-9,5791,0
41484,41,484,-9,-7,6162,0
41490,41,490,-9,-9,6164,0
41500,41,500,-9,-6,7194,0
41501,41,501,-9,0,7507,0
41510,41,510,-9,-7,7788,0
41516,41,516,-9,-7,7066,0
41517,41,517,-9,-5,7080,0
41520,41,520,-9,7,7981,0
41530,41,530,-9,-9,7374,0
41551,41,551,-9,0,7238,0
41552,41,552,-9,4,7458,0
41553,41,553,-9,-9,7566,0
41560,41,560,-9,4,8401,0
41570,41,570,-9,9,7418,0
41571,41,571,-9,10,7250,0
41572,41,572,-9,0,7594,0
41580,41,580,-9,-2,8497,0
41590,41,590,-9,9,9186,0
41600,41,600,-9,-9,4132,0
41615,41,615,-9,-9,4671,0
41616,41,616,-9,-9,5061,0
41620,41,620,-9,-7,5285,0
41625,41,625,-9,7,6816,0
41630,41,630,-9,-10,7196,0
41640,41,640,-9,9,6171,0
41645,41,645,-9,-7,6949,0
41651,41,651,-9,-7,6357,0
41652,41,652,-9,-7,6531,0
41660,41,660,-9,2,6478,0
41663,41,663,-9,-9,6557,0
41666,41,666,-9,9,6526,0
41670,41,670,-9,-10,7374,0
41678,41,678,-9,-3,7533,0
41680,41,680,-9,-5,7661,0
41690,41,690,-9,-9,7270,0
41700,41,700,-9,-7,7993,0
41710,41,710,-9,-9,8366,0
41712,41,712,-9,-7,7853,0
41713,41,713,-9,-8,9294,0
41731,41,731,-9,-9,8300,0
41732,41,732,-9,-3,8370,0
41740,41,740,-9,10,8149,0
41750,41,750,-9,9,8605,0
41770,41,770,-9,3,8180,0
41775,41,775,-9,-7,9884,0
41780,41,780,-9,7,9860,0
41781,41,781,-9,,9646,0
41790,41,790,-9,-9,8917,0
41800,41,800,-9,,10164,0
41811,41,811,-9,-9,10360,0
41812,41,812,-9,,9901,0
41816,41,816,-9,-8,9710,0
41817,41,817,-9,-3,10422,0
41820,41,820,-9,10,10894,0
41830,41,830,-9,-2,11054,0
41840,41,840,-9,5,9985,0
41850,41,850,-9,-7,11592,0
41900,41,900,-9,10,9665,0
41920,41,920,-9,10,8239,0
42051,42,51,-3,10,454,0
42052,42,52,-3,8,779,1
42053,42,53,-3,,778,0
42070,42,70,-3,-6,1912,1
42090,42,90,-3,3,1392,1
42091,42,91,-3,-1,1188,1
42092,42,92,-3,0,1323,1
42093,42,93,-3,-8,1176,1
42094,42,94,-3,10,1118,1
42095,42,95,-3,-7,922,1
42100,42,100,-3,7,1000,1
42101,42,101,-3,6,586,1
42110,42,110,-3,1,1129,0
42130,42,130,-3,1,1418,1
42135,42,135,-3,-7,2166,1
42140,42,140,-3,-9,2802,1
42145,42,145,-3,-4,2421,1
42150,42,150,-3,-8,3135,1
42155,42,155,-3,6,3591,1
42160,42,160,-3,-9,3747,1
42165,42,165,-3,8,3798,1
42200,42,200,-3,10,4366,0
42205,42,205,-3,10,4124,0
42210,42,210,-3,10,4583,0
42211,42,211,-3,10,4558,0
42212,42,212,-3,10,4639,0
42220,42,220,-3,5,4468,0
42225,42,225,-3,10,4710,0
42230,42,230,-3,-7,4165,0
42235,42,235,-3,-9,3871,0
42260,42,260,-3,10,4679,0
42265,42,265,-3,-9,4809,0
42290,42,290,-3,-7,5259,0
42305,42,305,-3,10,5111,0
42310,42,310,-3,-7,5244,0
42315,42,315,-3,,5006,0
42325,42,325,-3,10,4996,0
42338,42,338,-3,,5180,0
42339,42,339,-3,-9,5376,0
42345,42,345,-3,-7,5351,0
42350,42,350,-3,-7,5638,0
42352,42,352,-3,7,6207,0
42355,42,355,-3,-7,5525,0
42360,42,360,-3,-7,5624,0
42365,42,365,-3,-7,5822,0
42375,42,375,-3,10,5285,0
42380,42,380,-3,10,5059,0
42385,42,385,-3,10,4802,0
42390,42,390,-3,10,4885,0
42395,42,395,-3,10,3859,0
42411,42,411,-3,,5400,0
42420,42,420,-3,10,3550,0
42432,42,432,-3,-7,4125,0
42433,42,433,-3,-7,3476,0
42434,42,434,-3,-7,4938,0
42435,42,435,-3,-7,3529,0
42436,42,436,-3,-7,4770,0
42437,42,437,-3,-9,4413,0
42438,42,438,-3,-9,3807,0
42439,42,439,-3,-7,4554,0
42450,42,450,-3,-6,4062,0
42451,42,451,-3,2,3857,0
42452,42,452,-3,-7,4772,0
42461,42,461,-3,-7,4854,0
42471,42,471,-3,-7,5578,0
42475,42,475,-3,-7,5183,0
42481,42,481,-3,-7,5518,0
42482,42,482,-3,-9,6030,0
42483,42,483,-3,-9,5635,0
42484,42,484,-3,-7,6003,0
42490,42,490,-3,-9,6005,0
42500,42,500,-3,-6,7036,0
42501,42,501,-3,0,7348,0
42510,42,510,-3,-7,7629,0
42516,42,516,-3,-7,6906,0
42517,42,517,-3,-5,6921,0
42520,42,520,-3,7,7826,0
42530,42,530,-3,-9,7222,0
42551,42,551,-3,0,7080,0
42552,42,552,-3,4,7302,0
42553,42,553,-3,-9,7408,0
42560,42,560,-3,4,8538,0
42570,42,570,-3,9,7272,0
42571,42,571,-3,10,7101,0
42572,42,572,-3,0,7445,0
42580,42,580,-3,-2,8340,0
42590,42,590,-3,9,9028,0
42600,42,600,-3,-9,3995,0
42615,42,615,-3,-9,4540,0
42616,42,616,-3,-9,4931,0
42620,42,620,-3,-7,5149,0
42625,42,625,-3,7,6667,0
42630,42,630,-3,-10,7087,0
42640,42,640,-3,9,6056,0
42645,42,645,-3,-7,6830,0
42651,42,651,-3,-7,6225,0
42652,42,652,-3,-7,6406,0
42660,42,660,-3,2,6353,0
42663,42,663,-3,-9,6430,0
42666,42,666,-3,9,6398,0
42670,42,670,-3,-10,7243,0
42678,42,678,-3,-3,7389,0
42680,42,680,-3,-5,7514,0
42690,42,690,-3,-9,7148,0
42700,42,700,-3,-7,7904,0
42710,42,710,-3,-9,8389,0
42712,42,712,-3,-7,7853,0
42713,42,713,-3,-8,9343,0
42731,42,731,-3,-9,8346,0
42732,42,732,-3,-3,8420,0
42740,42,740,-3,10,8228,0
42750,42,750,-3,9,8521,0
42770,42,770,-3,3,8096,0
42775,42,775,-3,-7,9833,0
42780,42,780,-3,7,9739,0
42781,42,781,-3,,9509,0
42790,42,790,-3,-9,8849,0
42800,42,800,-3,,10127,0
42811,42,811,-3,-9,10343,0
42812,42,812,-3,,9878,0
42816,42,816,-3,-8,9702,0
42817,42,817,-3,-3,10415,0
42820,42,820,-3,10,10847,0
42830,42,830,-3,-2,11018,0
42840,42,840,-3,5,10045,0
42850,42,850,-3,-7,11570,0
42900,42,900,-3,10,9795,0
42920,42,920,-3,10,8363,0
51052,51,52,10,8,1142,0
51053,51,53,10,,1193,0
51070,51,70,10,-6,1466,0
51090,51,90,10,3,940,0
51091,51,91,10,-1,743,0
51092,51,92,10,0,877,0
51093,51,93,10,-8,751,0
51094,51,94,10,10,741,0
51095,51,95,10,-7,651,0
51100,51,100,10,7,945,0
51101,51,101,10,6,841,0
51110,51,110,10,1,1476,0
51130,51,130,10,1,1265,0
51135,51,135,10,-7,2078,0
51140,51,140,10,-9,3055,0
51145,51,145,10,-4,2458,0
51150,51,150,10,-8,3258,0
51155,51,155,10,6,3581,0
51160,51,160,10,-9,3833,0
51165,51,165,10,8,3900,0
51200,51,200,10,10,4687,0
51205,51,205,10,10,4432,0
51210,51,210,10,10,4899,0
51211,51,211,10,10,4883,0
51212,51,212,10,10,4971,0
51220,51,220,10,5,4805,0
51225,51,225,10,10,5056,0
51230,51,230,10,-7,4548,0
51235,51,235,10,-9,4262,0
51260,51,260,10,10,5004,0
51265,51,265,10,-9,5113,0
51290,51,290,10,-7,5566,0
51305,51,305,10,10,5445,0
51310,51,310,10,-7,5580,0
51315,51,315,10,,5331,0
51325,51,325,10,10,5365,0
51338,51,338,10,,5574,0
51339,51,339,10,-9,5741,0
51345,51,345,10,-7,5699,0
51350,51,350,10,-7,6014,0
51352,51,352,10,7,6582,0
51355,51,355,10,-7,5881,0
51360,51,360,10,-7,5968,0
51365,51,365,10,-7,6088,0
51375,51,375,10,10,5541,0
51380,51,380,10,10,5326,0
51385,51,385,10,10,5068,0
51390,51,390,10,10,5178,0
51395,51,395,10,10,4072,0
51411,51,411,10,,5854,0
51420,51,420,10,10,4005,0
51432,51,432,10,-7,4580,0
51433,51,433,10,-7,3931,0
51434,51,434,10,-7,5392,0
51435,51,435,10,-7,3981,0
51436,51,436,10,-7,5223,0
51437,51,437,10,-9,4866,0
51438,51,438,10,-9,4260,0
51439,51,439,10,-7,5008,0
51450,51,450,10,-6,4513,0
51451,51,451,10,2,4310,0
51452,51,452,10,-7,5225,0
51461,51,461,10,-7,5307,0
51471,51,471,10,-7,6032,0
51475,51,475,10,-7,5637,0
51481,51,481,10,-7,5970,0
51482,51,482,10,-9,6484,0
51483,51,483,10,-9,6086,0
51484,51,484,10,-7,6452,0
51490,51,490,10,-9,6454,0
51500,51,500,10,-6,7490,0
51501,51,501,10,0,7803,0
51510,51,510,10,-7,8082,0
51516,51,516,10,-7,7360,0
51517,51,517,10,-5,7375,0
51520,51,520,10,7,8276,0
51530,51,530,10,-9,7666,0
51551,51,551,10,0,7518,0
51552,51,552,10,4,7735,0
51553,51,553,10,-9,7851,0
51560,51,560,10,4,8127,0
51570,51,570,10,9,7666,0
51571,51,571,10,10,7511,0
51572,51,572,10,0,7853,0
51580,51,580,10,-2,8779,0
51590,51,590,10,9,9467,0
51600,51,600,10,-9,4406,0
51615,51,615,10,-9,4937,0
51616,51,616,10,-9,5324,0
51620,51,620,10,-7,5555,0
51625,51,625,10,7,7104,0
51630,51,630,10,-10,7423,0
51640,51,640,10,9,6411,0
51645,51,645,10,-7,7192,0
51651,51,651,10,-7,6623,0
51652,51,652,10,-7,6783,0
51660,51,660,10,2,6730,0
51663,51,663,10,-9,6814,0
51666,51,666,10,9,6784,0
51670,51,670,10,-10,7635,0
51678,51,678,10,-3,7814,0
51680,51,680,10,-5,7945,0
51690,51,690,10,-9,7519,0
51700,51,700,10,-7,8184,0
51710,51,710,10,-9,8353,0
51712,51,712,10,-7,7884,0
51713,51,713,10,-8,9226,0
51731,51,731,10,-9,8244,0
51732,51,732,10,-3,8305,0
51740,51,740,10,10,8030,0
51750,51,750,10,9,8787,0
51770,51,770,10,3,8361,0
51775,51,775,10,-7,9996,0
51780,51,780,10,7,10100,0
51781,51,781,10,,9914,0
51790,51,790,10,-9,9068,0
51800,51,800,10,,10245,0
51811,51,811,10,-9,10402,0
51812,51,812,10,,9961,0
51816,51,816,10,-8,9743,0
51817,51,817,10,-3,10446,0
51820,51,820,10,10,10981,0
51830,51,830,10,-2,11114,0
51840,51,840,10,5,9889,0
51850,51,850,10,-7,11595,0
51900,51,900,10,10,9398,0
51920,51,920,10,10,7984,0
52053,52,53,8,,213,0
52070,52,70,8,-6,2580,1
52090,52,90,8,3,1975,1
52091,52,91,8,-1,1751,1
52092,52,92,8,0,1882,1
52093,52,93,8,-8,1682,1
52094,52,94,8,10,1536,1
52095,52,95,8,-7,1233,1
52100,52,100,8,7,957,1
52101,52,101,8,6,367,1
52110,52,110,8,1,351,0
52130,52,130,8,1,1389,1
52135,52,135,8,-7,1898,1
52140,52,140,8,-9,2052,1
52145,52,145,8,-4,1932,1
52150,52,150,8,-8,2498,1
52155,52,155,8,6,3109,1
52160,52,160,8,-9,3136,1
52165,52,165,8,8,3168,1
52200,52,200,8,10,4430,0
52205,52,205,8,10,4229,0
52210,52,210,8,10,4653,0
52211,52,211,8,10,4606,0
52212,52,212,8,10,4667,0
52220,52,220,8,5,4489,0
52225,52,225,8,10,4698,0
52230,52,230,8,-7,4066,0
52235,52,235,8,-9,3755,0
52260,52,260,8,10,4723,0
52265,52,265,8,-9,4899,0
52290,52,290,8,-7,5327,0
52305,52,305,8,10,5119,0
52310,52,310,8,-7,5245,0
52315,52,315,8,,5040,0
52325,52,325,8,10,4913,0
52338,52,338,8,,5015,0
52339,52,339,8,-9,5292,0
52345,52,345,8,-7,5317,0
52350,52,350,8,-7,5516,0
52352,52,352,8,7,6074,0
52355,52,355,8,-7,5466,0
52360,52,360,8,-7,5594,0
52365,52,365,8,-7,5966,0
52375,52,375,8,10,5466,0
52380,52,380,8,10,5224,0
52385,52,385,8,10,4976,0
