respon,DH_appr,age,PID5,female,followbaseball
674,1,24,4,"Male",1
675,,42,3,"Male",0
676,,38,2,"Male",0
677,,85,3,"Female",1
678,,29,3,"Male",0
679,,50,5,"Female",0
680,,49,5,"Female",0
681,,50,5,"Female",0
682,,38,2,"Female",0
683,,30,5,"Male",0
684,0,62,4,"Female",1
685,,31,1,"Female",0
686,1,74,5,"Male",1
687,,55,3,"Female",1
688,1,20,5,"Female",1
689,,64,1,"Female",0
690,,68,1,"Female",0
691,1,49,1,"Male",1
692,0,35,1,"Male",1
693,0,36,4,"Male",1
694,,42,4,"Female",0
695,0,38,3,"Female",1
696,,42,4,"Female",0
697,,41,2,"Female",0
698,,42,3,"Male",0
699,,43,1,"Female",1
700,,90,1,"Male",0
701,0,38,3,"Female",1
702,,48,2,"Female",0
703,,36,5,"Female",0
704,1,42,5,"Female",1
705,,69,1,"Female",0
706,1,69,5,"Female",1
707,,25,5,"Female",0
708,0,26,1,"Male",1
709,1,44,4,"Female",1
710,1,37,4,"Male",1
711,,42,,"Female",1
712,,58,5,"Male",0
713,,39,3,"Female",1
714,,62,,"Female",
715,,66,1,"Male",0
716,,56,1,"Female",0
717,1,45,5,"Male",1
718,,44,5,"Male",0
719,,55,1,"Female",0
720,,24,5,"Female",0
721,,45,5,"Female",0
722,,81,1,"Female",0
723,,42,4,"Female",0
724,0,38,2,"Male",1
725,,48,1,"Female",1
726,1,27,,"Female",1
727,1,52,2,"Male",1
728,0,79,2,"Female",1
729,1,42,4,"Male",1
730,,53,1,"Male",0
731,1,72,1,"Female",1
732,,55,3,"Male",0
733,1,70,5,"Male",1
734,,62,3,"Male",1
735,,38,2,"Female",0
736,,46,5,"Male",0
737,,30,1,"Female",0
738,1,69,5,"Male",1
739,1,40,5,"Male",1
740,1,57,5,"Male",1
741,,40,5,"Male",0
742,1,69,1,"Female",1
743,0,46,1,"Male",1
744,,72,4,"Male",0
745,,49,2,"Female",0
746,0,47,2,"Male",1
747,,46,2,"Female",0
748,0,48,1,"Female",1
749,,36,1,"Female",0
750,,37,2,"Male",0
751,,40,4,"Female",0
752,1,53,2,"Female",1
753,,42,1,"Female",0
754,0,74,1,"Male",1
755,,73,5,"Female",0
756,,72,5,"Female",0
757,1,50,4,"Female",1
758,1,34,2,"Male",1
759,,22,3,"Male",0
760,,34,5,"Female",0
761,,51,4,"Female",0
762,,39,5,"Female",0
763,,42,5,"Female",0
764,,42,1,"Female",0
765,,56,4,"Male",0
766,1,42,4,"Female",1
767,,46,3,"Male",1
768,,75,5,"Female",0
769,1,36,,"Male",1
770,,24,5,"Female",0
771,,35,5,"Female",0
772,,65,2,"Male",0
773,,45,5,"Female",0
774,1,32,5,"Male",1
775,,75,4,"Female",0
776,,47,4,"Male",1
777,,48,1,"Male",0
778,1,23,5,"Female",1
779,,28,1,"Male",0
780,,93,1,"Female",0
781,,21,4,"Female",0
782,0,48,4,"Male",1
783,,39,5,"Female",0
784,,40,5,"Female",0
785,,46,5,"Female",0
786,1,37,3,"Male",1
787,,43,1,"Male",0
788,1,38,1,"Male",1
789,,23,4,"Female",0
790,,66,5,"Female",0
791,,36,3,"Female",0
792,,67,2,"Female",0
793,,60,1,"Female",1
794,,45,4,"Female",0
795,,25,4,"Female",0
796,,37,1,"Male",0
797,1,59,1,"Male",1
798,,18,5,"Female",0
799,,50,5,"Male",0
800,,51,2,"Male",0
801,,70,,"Female",0
802,1,46,5,"Female",1
803,,52,5,"Female",0
804,1,63,1,"Male",1
805,,49,5,"Female",0
806,,31,1,"Male",0
807,,38,,"Female",0
808,,31,1,"Female",0
809,,33,5,"Female",0
810,1,34,3,"Male",1
811,,33,5,"Male",1
812,,53,4,"Male",0
813,,57,,"Male",0
814,,23,5,"Female",0
815,0,32,1,"Male",1
816,,21,5,"Female",0
817,,23,3,"Male",0
818,0,52,1,"Male",1
819,,56,1,"Male",0
820,,69,1,"Female",0
821,,65,5,"Female",1
822,0,46,1,"Male",1
823,0,67,1,"Male",1
824,1,67,5,"Male",1
825,1,19,5,"Male",1
826,,37,2,"Male",0
827,,37,2,"Male",0
828,,29,5,"Female",0
